Device,Model,Type,IOS,BMN
mbus_fairfield_rtr2.reyes.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.5(3)M4a,REYES
rccb-santa-maria-vgw.reyes.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.6(3)M5,REYES
glccd-alsip-rtr1.reyes.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.7(3)M7,REYES
rfs_laxdc_voip_r1.reyes.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.2(4)M6,REYES
rbg_washington_sw6.reyes.remote.hms.cdw.com,WS-C2960-24PC-L,switch,C2960-LANBASEK9-M12.2(55)SE5,REYES
rbg_chesapeake_sw4.reyes.remote.hms.cdw.com,WS-C2960-24PC-L,switch,C2960-LANBASEK9-M12.2(55)SE7,REYES
rfscinswitruk1.reyes.remote.hms.cdw.com,WS-C2960C-8PC-L,switch,C2960c405-UNIVERSALK9-M15.2(6)E,REYES
rbd-richmond-sw5.reyes.remote.hms.cdw.com,WS-C2960C-8PC-L,switch,C2960c405-UNIVERSALK9-M15.2(7)E2,REYES
glccd-niles-sw13.reyes.remote.hms.cdw.com,WS-C2960CX-8PC-L,switch,C2960CX-UNIVERSALK9-M15.2(4)E3,REYES
rfsnorswiclr7.reyes.remote.hms.cdw.com,WS-C2960S-24PS-L,switch,C2960S-UNIVERSALK9-M12.2(55)SE2,REYES
mbcan_calgary_sw5.reyes.remote.hms.cdw.com,WS-C2960S-48FPS-L,switch,C2960S-UNIVERSALK9-M12.2(55)SE8,REYES
perth_dc-sw2.reyes.remote.hms.cdw.com,WS-C2960S-F48FPS-L,switch,C2960S-UNIVERSALK9-M15.0(2)SE5,REYES
glccd-milwaukee-sw9.reyes.remote.hms.cdw.com,WS-C2960S-24PS-L,switch,C2960S-UNIVERSALK9-M15.2(1)E,REYES
mbau-sydney-mdf-s2.reyes.remote.hms.cdw.com,WS-C2960S-48LPS-L,switch,C2960S-UNIVERSALK9-M15.2(2)E5,REYES
mbuk-reading-sw1.reyes.remote.hms.cdw.com,SM-ES2-24,router,C2960SM-LANBASEK9-M12.2(52)EX1,REYES
rh_office_sw10ns1.reyes.remote.hms.cdw.com,WS-C2960X-48LPS-L,switch,C2960X-UNIVERSALK9-M15.2(7)E0a,REYES
rbg_chantilly_sw8.reyes.remote.hms.cdw.com,WS-C3560-48PS,switch,C3560-IPBASE-M12.2(25)SEE3,REYES
rbg_chantilly_sw2.reyes.remote.hms.cdw.com,WS-C3560-48PS,switch,C3560-IPBASEK9-M12.2(55)SE7,REYES
mbus_harriman_sw1.reyes.remote.hms.cdw.com,WS-C3560V2-48PS,switch,C3560-IPBASEK9-M12.2(58)SE2,REYES
glccd-chicago-sw4.reyes.remote.hms.cdw.com,WS-C3560-8PC,switch,C3560-IPBASEK9-M15.0(2)SE7,REYES
rfsepaswiserv60.reyes.remote.hms.cdw.com,WS-C3560-48PS,switch,C3560-IPSERVICES-M12.2(25)SEC,REYES
rfssfdswiwhs2.reyes.remote.hms.cdw.com,WS-C3560-48PS,switch,C3560-IPSERVICESK9-M12.2(50)SE,REYES
rfspitidfswi1.reyes.remote.hms.cdw.com,WS-C3560CX-8PC-S,switch,C3560CX-UNIVERSALK9-M15.2(3)E2,REYES
glccd-eagan-sw9.reyes.remote.hms.cdw.com,WS-C3560CX-8PC-S,switch,C3560CX-UNIVERSALK9-M15.2(4)E1,REYES
glccd-alsip-pr-mfg-sw1.reyes.remote.hms.cdw.com,WS-C3560CX-8PC-S,switch,C3560CX-UNIVERSALK9-M15.2(4)E5,REYES
glccd-detroit-sw5.reyes.remote.hms.cdw.com,WS-C3560CX-12PC-S,switch,C3560CX-UNIVERSALK9-M15.2(7)E2,REYES
mbus_fairfield_sw3.reyes.remote.hms.cdw.com,WS-C3560X-24P,switch,C3560E-UNIVERSALK9-M12.2(55)SE9,REYES
mbus_st_johns_sw10.reyes.remote.hms.cdw.com,WS-C3560X-24P,switch,C3560E-UNIVERSALK9-M15.2(1)E2,REYES
mbcan_vancouver_sw3.reyes.remote.hms.cdw.com,WS-C3560X-24P,switch,C3560E-UNIVERSALK9-M15.2(4)E10,REYES
rh-wpb-core-sw1.reyes.remote.hms.cdw.com,WS-C3750V2-48PS,router,C3750-IPSERVICESK9-M12.2(55)SE7,REYES
mbus_atlanta_vsw.reyes.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-IPBASEK9-M15.0(2)SE11,REYES
mbus_coatesville_sw1.reyes.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(1)SE,REYES
mbus_manassas_vsw.reyes.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(2)SE1,REYES
gdc2sw3750-s2.reyes.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.2(2)E4,REYES
rh_9700_itsc_sw1.reyes.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.2(4)E9,REYES
gdc1voip01.reyes.remote.hms.cdw.com,3845,router,C3845-ADVIPSERVICESK9-M15.1(4)M4,REYES
2821-rfs1.reyes.remote.hms.cdw.com,3845,router,C3845-ADVIPSERVICESK9-M15.1(4)M8,REYES
gdc2rtrmpls-02.reyes.remote.hms.cdw.com,CISCO3945-CHASSIS,router,C3900-UNIVERSALK9-M15.5(3)M4a,REYES
mbuk-parkroyal-rtr1.reyes.remote.hms.cdw.com,CISCO3945-CHASSIS,router,C3900e-UNIVERSALK9-M15.1(4)M4,REYES
mbau-sydneycolo-rtr1.reyes.remote.hms.cdw.com,CISCO3945-CHASSIS,router,C3900e-UNIVERSALK9-M15.7(3)M6,REYES
mbfr-lisses-rtr1.reyes.remote.hms.cdw.com,CISCO3945-CHASSIS,router,C3900e-UNIVERSALK9-M15.7(3)M7,REYES
rfs_louisville_dmvpn.reyes.remote.hms.cdw.com,C892FSP-K9,router,C800-UNIVERSALK9-M15.3(3)M10,REYES
mbfr-aix-dmvpn.reyes.remote.hms.cdw.com,C892FSP-K9,router,C800-UNIVERSALK9-M15.3(3)M6,REYES
rfs_mil-4g.reyes.remote.hms.cdw.com,C881-K9,router,C800-UNIVERSALK9-M15.4(3)M1,REYES
rccb-city-of-ind-dmvpn-rtr.reyes.remote.hms.cdw.com,C892FSP-K9,router,C800-UNIVERSALK9-M15.4(3)M4,REYES
mbcan-brampton-dmvpn-rtr1.reyes.remote.hms.cdw.com,C881-K9,router,C800-UNIVERSALK9-M15.5(3)M,REYES
rfs_twc_4g.reyes.remote.hms.cdw.com,C881-K9,router,C800-UNIVERSALK9-M15.6(2)T1,REYES
glccd-alpena-dmvpn-rtr.reyes.remote.hms.cdw.com,C881-K9,router,C800-UNIVERSALK9-M15.7(3)M4a,REYES
mbcan_calgary_dsl_dmvpn.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M12.4(20)T6,REYES
rfs_neworleans_vsat.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.1(1)T1,REYES
mbus_coatesville_4g_dmvpn.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.2(1)T1,REYES
mbcan_montreal_dsl_dmvpn.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.2(4)M3,REYES
mbbr-dmvpn-01.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.2(4)M4,REYES
rfs_bowling_green_backup.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.2(4)M5,REYES
rbg_summerville_4g_dmvpn.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.2(4)M6,REYES
mbus_fridley_4g_dmvpn.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.3(3)M,REYES
glccd-madison-dmvpn-rtr1.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.4(3)M10,REYES
mbus_enfield_4g_dmvpn.reyes.remote.hms.cdw.com,881,router,C880DATA-UNIVERSALK9-M15.4(3)M9,REYES
mbmy-kuching-dmvpn-rtr1.reyes.remote.hms.cdw.com,892,router,C890-UNIVERSALK9-M15.2(4)M6,REYES
rfs-sho-backup.reyes.remote.hms.cdw.com,891,router,C890-UNIVERSALK9-M15.4(3)M9,REYES
rccb-sanleandro-wicks-core-sw1.reyes.remote.hms.cdw.com,WS-C3850-24S,router,CAT3K_CAA-UNIVERSALK9-M03.06.03E,REYES
mbcan-brampton-core-sw1.reyes.remote.hms.cdw.com,WS-C3850-12S,router,CAT3K_CAA-UNIVERSALK9-M16.12.3a,REYES
mbus-walker-core-sw1.reyes.remote.hms.cdw.com,WS-C3850-12S,router,CAT3K_CAA-UNIVERSALK9-M16.9.6,REYES
rh-office-sw1.reyes.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.04.02.SG,REYES
rh-gdc1-inetdsw01.reyes.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.11.00.E,REYES
rbd-monterey-core-sw1.reyes.remote.hms.cdw.com,C9500-16X,router,CAT9K_IOSXE16.12.02,REYES
mbus-atlanta-core-sw1.reyes.remote.hms.cdw.com,C9500-16X,router,CAT9K_IOSXE16.12.4,REYES
glccd-niles-core-sw1.reyes.remote.hms.cdw.com,C9500-16X,router,CAT9K_IOSXE16.9.4,REYES
mbnz-auckland_dc-sw1.reyes.remote.hms.cdw.com,C9200L-48P-4G,router,CAT9K_LITE_IOSXE16.12.02,REYES
mbau-melbourne_dc-sw1.reyes.remote.hms.cdw.com,C9200L-48P-4G,router,CAT9K_LITE_IOSXE16.12.3a,REYES
mbau-eqsy3-dzsw1.reyes.remote.hms.cdw.com,C9200L-24P-4X,router,CAT9K_LITE_IOSXE16.12.4,REYES
glccd-clarksville-core-sw1.reyes.remote.hms.cdw.com,C9200L-24P-4X,router,CAT9K_LITE_IOSXE16.9.5,REYES
rhgdc1rtrmpls-01.reyes.remote.hms.cdw.com,ASR1002,router,PPC_LINUX_IOSD-ADVIPSERVICESK9-M15.5(3)S1a,REYES
mbus-sumner-vg2.reyes.remote.hms.cdw.com,VG202XM,router,VG20XXM-ADVIPSERVICESK9-M15.9(3)M1,REYES
mbus-mccook-vg1.reyes.remote.hms.cdw.com,VG204XM,router,VG20XXM-IPVOICE-M15.9(3)M2,REYES
mbus-cid-vgw1.reyes.remote.hms.cdw.com,VG224,router,vg224-I6S-M12.4(22)T5,REYES
glccd-niles-vg1.reyes.remote.hms.cdw.com,VG224,router,vg224-I6S-M12.4(24)T8,REYES
glccd-alsip-pr-vg1.reyes.remote.hms.cdw.com,VG224,router,vg224-I6S-M15.1(4)M12a,REYES
gdc2rtrmpls-01.reyes.remote.hms.cdw.com,ASR1002-X,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.5(3)S1a,REYES
rh-msaz-csr01.reyes.remote.hms.cdw.com,CSR1000V,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.5.1b,REYES
rbd-napa-vgw1.reyes.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.9.2,REYES
glccd-alpena-rtr1.reyes.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.9.6,REYES
mbus-cid-rtr1.reyes.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M17.3.1a,REYES
ri-2951.rise.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.3(3)M3,RISE
ri-9300-mx01.rise.remote.hms.cdw.com,C9300-24U,router,CAT9K_IOSXE16.6.6,RISE
dr1-dist1.rxone.remote.hms.cdw.com,C9300-48T,router,CAT9K_IOSXE16.6.3,RXONE
p10-cube01.sabra.remote.hms.cdw.com,ISR4351/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.3.7,SABRA
r040-cdw-mke1.safway.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.5(1)S,SAFWAY
metchidhqvg01.salar.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.4(3)M2,SALAR
sbw-wan-main.sbwi.remote.hms.cdw.com,ME-3400EG-2CS-A,router,ME340x-METROIPACCESSK9-M12.2(55)SE8,SBWI
pk1-rtr-p1.schwa.remote.hms.cdw.com,C1111-4P,router,ARMV8EB_LINUX_IOSD-UNIVERSALK9_IAS-M16.8.1,SCHWA
gb1-optosw-p1.schwa.remote.hms.cdw.com,WS-C3550-24,switch,C3550-I9Q3L2-M12.1(22)EA3,SCHWA
gb1-netmgmt-p1.schwa.remote.hms.cdw.com,WS-C3550-48,switch,C3550-IPSERVICESK9-M12.2(44)SE6,SCHWA
gb1-mgmt-p1.schwa.remote.hms.cdw.com,WS-C3560-24PS,switch,C3560-IPBASEK9-M12.2(55)SE9,SCHWA
gb1-idf5v-p0.schwa.remote.hms.cdw.com,WS-C3750V2-48PS,router,C3750-IPBASEK9-M12.2(55)SE12,SCHWA
gb4-mdf-p1.schwa.remote.hms.cdw.com,C9500-16X,router,CAT9K_IOSXE16.9.5,SCHWA
dm1-vg-204xm.schwa.remote.hms.cdw.com,VG204XM,router,VG20XXM-IPVOICE-M15.4(3)M9,SCHWA
bvl-wda-rtr.senre.remote.binc.net,CISCO1921/K9,router,C1900-UNIVERSALK9-M15.6(3)M7,SENRE
bvl-4331-rtr.senre.remote.binc.net,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.9.4,SENRE
abc-3650.shedd.remote.hms.cdw.com,WS-C3650-48PD,router,CAT3K_CAA-UNIVERSALK9-M16.6.7,SHEDD
mdf-9300.shedd.remote.hms.cdw.com,C9300-48T,router,CAT9K_IOSXE16.6.7,SHEDD
glb-vg-r1.sji.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.4(3)M9,SJI
cpm-vg-r1.sji.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.5(3)M10,SJI
ac-r1.sji.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.6.4,SJI
s-specb-msp-5.specb.remote.binc.net,WS-C4500X-32,switch,cat4500e-UNIVERSALK9-M03.08.07.E,SPECB
cfb2851-dsp-1.sysme.remote.hms.cdw.com,2851,router,C2800NM-IPVOICEK9-M12.4(24)T5,SYSME
thorn-vg01.thorn.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.4(3)S7,THORN
con-fzn-mdf-int-rt3.tjoes.remote.hms.cdw.com,C1101-4PLTEP,router,ARMV8EL_LINUX_IOSD-UNIVERSALK9_IAS-M16.10.1b,TJOES
fon-ap45.tjoes.remote.hms.cdw.com,AIR-AP1242G-A-K9,router,C1240-K9W7-M12.4(10b)JA3,TJOES
fon-ap11.tjoes.remote.hms.cdw.com,AIR-AP1242G-A-K9,router,C1240-K9W7-M12.4(10b)JDA,TJOES
fon-ap01.tjoes.remote.hms.cdw.com,AIR-AP1242G-A-K9,router,C1240-K9W7-M12.4(10b)JDA3,TJOES
fon-ap03.tjoes.remote.hms.cdw.com,AIR-AP1242AG-A-K9,router,C1240-K9W7-M12.4(21a)JA1,TJOES
fon-ap38.tjoes.remote.hms.cdw.com,AIR-AP1242G-A-K9,router,C1240-K9W7-M12.4(25d)JA,TJOES
fon-ap32.tjoes.remote.hms.cdw.com,AIR-AP1242G-A-K9,router,C1240-K9W7-M12.4(25d)JA1,TJOES
traders-003pip-8887439e002.tjoes.remote.hms.cdw.com,2811,router,C2800NM-ADVSECURITYK9-M15.1(4)M7,TJOES
traders-303pip-3329423e002.tjoes.remote.hms.cdw.com,CISCO2901/K9,router,C2900-UNIVERSALK9-M15.1(1)T,TJOES
min-fzn-mdf-mpls-rt1.tjoes.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.1(4)M5,TJOES
nw-mdf-int-rt2.tjoes.remote.hms.cdw.com,CISCO2901/K9,router,C2900-UNIVERSALK9-M15.1(4)M6,TJOES
irv-mdf-mpls-rt1.tjoes.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.2(4)M3,TJOES
fon-mdf-int-rt2.tjoes.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.4(1)T1,TJOES
traders-011pip-8097607e006.tjoes.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.5(3)M,TJOES
nw-idf1-sw1.tjoes.remote.hms.cdw.com,WS-C2960-24PC-L,switch,C2960-LANBASEK9-M12.2(50)SE5,TJOES
str-0215-sw2.tjoes.remote.hms.cdw.com,WS-C2960-24LT-L,switch,C2960-LANBASEK9-M12.2(55)SE1,TJOES
str-0248-sw1.tjoes.remote.hms.cdw.com,WS-C2960+48PST-L,switch,C2960-LANBASEK9-M15.0(2)EZ,TJOES
nw-idf10-sw2.tjoes.remote.hms.cdw.com,WS-C2960-24PC-L,switch,C2960-LANBASEK9-M15.0(2)SE5,TJOES
str-0006-sw1.tjoes.remote.hms.cdw.com,WS-C2960+48PST-L,switch,C2960-LANBASEK9-M15.0(2)SE6,TJOES
str-0011-sw1.tjoes.remote.hms.cdw.com,WS-C2960+48PST-L,switch,C2960-LANBASEK9-M15.0(2)SE8,TJOES
str-0008-sw1.tjoes.remote.hms.cdw.com,WS-C2960+48PST-L,switch,C2960-LANBASEK9-M15.2(2)E6,TJOES
str-0073-sw1.tjoes.remote.hms.cdw.com,WS-C2960+48PST-L,switch,C2960-LANBASEK9-M15.2(2)E7,TJOES
str-0005-sw1.tjoes.remote.hms.cdw.com,WS-C2960+48PST-L,switch,C2960-LANBASEK9-M15.2(2)E8,TJOES
nw-idf2-sw1.tjoes.remote.hms.cdw.com,WS-C2960-48PST-S,switch,C2960-LANLITEK9-M12.2(50)SE5,TJOES
str-0403-sw1.tjoes.remote.hms.cdw.com,WS-C2960-48PST-S,switch,C2960-LANLITEK9-M12.2(55)SE10,TJOES
nw-idf9-sw2.tjoes.remote.hms.cdw.com,WS-C2960-48PST-S,switch,C2960-LANLITEK9-M12.2(55)SE5,TJOES
str-0019-sw1.tjoes.remote.hms.cdw.com,WS-C2960-24PC-S,switch,C2960-LANLITEK9-M15.0(2)SE5,TJOES
irv-idf18-sw1.tjoes.remote.hms.cdw.com,WS-C2960C-8PC-L,switch,C2960c405-UNIVERSALK9-M12.2(55)EX3,TJOES
min-idf13-sw1.tjoes.remote.hms.cdw.com,WS-C2960C-8PC-L,switch,C2960c405-UNIVERSALK9-M15.0(2)SE5,TJOES
con-idf15-sw1.tjoes.remote.hms.cdw.com,WS-C2960C-8PC-L,switch,C2960c405-UNIVERSALK9-M15.2(2)E7,TJOES
day-idf15-sw1.tjoes.remote.hms.cdw.com,WS-C2960C-8PC-L,switch,C2960c405-UNIVERSALK9-M15.2(3)E,TJOES
all-idf010-sw1.tjoes.remote.hms.cdw.com,WS-C2960CX-8PC-L,switch,C2960CX-UNIVERSALK9-M15.2(3)E2,TJOES
str-0706-tju-sw1.tjoes.remote.hms.cdw.com,WS-C2960CX-8PC-L,switch,C2960CX-UNIVERSALK9-M15.2(4)E6,TJOES
irv-idf17-sw1.tjoes.remote.hms.cdw.com,WS-C2960S-24PS-L,switch,C2960S-UNIVERSALK9-M12.2(55)SE10,TJOES
northwest-mdf-cs1.tjoes.remote.hms.cdw.com,WS-C2960S-48LPS-L,switch,C2960S-UNIVERSALK9-M12.2(55)SE3,TJOES
atf-idf1-sw1.tjoes.remote.hms.cdw.com,WS-C2960S-24PS-L,switch,C2960S-UNIVERSALK9-M12.2(55)SE7,TJOES
fon-idf04-sw1.tjoes.remote.hms.cdw.com,WS-C2960S-48FPS-L,switch,C2960S-UNIVERSALK9-M15.2(2)E4,TJOES
nw-idf8-sw1.tjoes.remote.hms.cdw.com,WS-C3560-24PS,switch,C3560-IPBASEK9-M12.2(55)SE1,TJOES
chi-mdf-int-rt2.tjoes.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900-UNIVERSALK9-M15.3(3)M3,TJOES
day-fzn-mdf-mpls-rt1.tjoes.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900-UNIVERSALK9-M15.4(3)M1,TJOES
traders-dallasdc2-5723883e005.tjoes.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900-UNIVERSALK9-M15.4(3)M2,TJOES
traders-105lte-7557399e002.tjoes.remote.hms.cdw.com,C819G-4G-V-K9,router,C800-UNIVERSALK9-M15.2(4)M5,TJOES
traders-513lte-7399019e002.tjoes.remote.hms.cdw.com,C819G-4G-V-K9,router,C800-UNIVERSALK9-M15.3(3)M2,TJOES
str-0706-tju-hyda-park-rt1.tjoes.remote.hms.cdw.com,C819G-4G-V-K9,router,C800-UNIVERSALK9-M15.3(3)M3,TJOES
traders-525lte-7468165e002.tjoes.remote.hms.cdw.com,C819G-4G-V-K9,router,C800-UNIVERSALK9-M15.4(3)M8,TJOES
all-fzn-mdf-int-rt3.tjoes.remote.hms.cdw.com,C819G-4G-VZ-K9,router,C800-UNIVERSALK9-M15.5(2)T2,TJOES
day-mdf-int-rt3.tjoes.remote.hms.cdw.com,C819G-4G-VZ-K9,router,C800-UNIVERSALK9-M15.5(3)M4a,TJOES
lac-fzn-mdf-int-rt3.tjoes.remote.hms.cdw.com,C819G-4G-VZ-K9,router,C800-UNIVERSALK9-M15.5(3)M5,TJOES
str-0453-bkup-rtr2.tjoes.remote.hms.cdw.com,C819G-4G-VZ-K9,router,C800-UNIVERSALK9-M15.5(3)M8,TJOES
traders-779lte-26522081e005.tjoes.remote.hms.cdw.com,C819G-4G-VZ-K9,router,C800-UNIVERSALK9-M15.6(3)M4,TJOES
stk-fzn-mdf-4g-rt3.tjoes.remote.hms.cdw.com,C819G-4G-VZ-K9,router,C800-UNIVERSALK9-M15.7(3)M,TJOES
day-mdf-sw1.tjoes.remote.hms.cdw.com,WS-C3650-48PS,router,CAT3K_CAA-UNIVERSALK9-M03.03.05.SE,TJOES
all-idf01-sw1.tjoes.remote.hms.cdw.com,WS-C3650-48PD,router,CAT3K_CAA-UNIVERSALK9-M03.06.03.E,TJOES
all-mdf-sw1.tjoes.remote.hms.cdw.com,WS-C3650-48PD,router,CAT3K_CAA-UNIVERSALK9-M03.06.08.E,TJOES
chi-mdf-sw1-1.tjoes.remote.hms.cdw.com,WS-C3650-48PS,router,CAT3K_CAA-UNIVERSALK9-M03.07.05E,TJOES
dal-r1-c05-10gbsw1.tjoes.remote.hms.cdw.com,WS-C3850-12XS,router,CAT3K_CAA-UNIVERSALK9-M16.6.1,TJOES
all-core-sw1.tjoes.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.07.02.E,TJOES
con-fzn-idf01a-sw1.tjoes.remote.hms.cdw.com,C9300-48U,router,CAT9K_IOSXE16.6.2,TJOES
con-fzn-mdf-core-sw1.tjoes.remote.hms.cdw.com,C9500-40X,router,CAT9K_IOSXE16.6.2b,TJOES
bos-mdf-access-sw1.tjoes.remote.hms.cdw.com,C9300-48U,router,CAT9K_IOSXE16.8.1a,TJOES
las-107-oob-sw1.tjoes.remote.hms.cdw.com,C9200-48T,router,CAT9K_LITE_IOSXE16.11.1,TJOES
stk-fzn-mdf-dmz-sw1.tjoes.remote.hms.cdw.com,C9200-24T,router,CAT9K_LITE_IOSXE16.12.1,TJOES
bos-vg310-01.tjoes.remote.hms.cdw.com,VG310,router,VG3X0-UNIVERSALK9-M15.6(3)M3a,TJOES
dal-r1-c05-ir1.tjoes.remote.hms.cdw.com,ASR1001-X,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.4(3)S2,TJOES
dal-r1-c05-rt3.tjoes.remote.hms.cdw.com,ASR1001,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.4(3)S6,TJOES
traders-allenhub-11302999e004.tjoes.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.4.1,TJOES
mon-vg-1.tjoes.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.4.2,TJOES
mon-mdf-ir2-4331.tjoes.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.6.3,TJOES
aftmktbldbrtr.tric.remote.hms.cdw.com,CISCO2901/K9,router,C2900-UNIVERSALK9-M15.3(3)M10,TRIC
rmrtra.tric.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.5.2,TRIC
btrtra.tric.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.6.6,TRIC
dal-sw2-c2960.twin.remote.hms.cdw.com,WS-C2960-48PST-S,switch,C2960-LANLITEK9-M12.2(55)SE12,TWIN
dal-sw3-c2960s.twin.remote.hms.cdw.com,WS-C2960S-24PS-L,switch,C2960S-UNIVERSALK9-M12.2(58)SE2,TWIN
chi-sw2-c2960.twin.remote.hms.cdw.com,WS-C2960S-48LPS-L,switch,C2960S-UNIVERSALK9-M15.0(2)SE11,TWIN
c3560cx-irvine-dc.twin.remote.hms.cdw.com,WS-C3560CX-8TC-S,switch,C3560CX-UNIVERSALK9-M15.2(4)E6,TWIN
sdc-vg-01.ulta.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.3(3)M4,ULTA
rtr-nedc-1.ulta.remote.hms.cdw.com,CISCO3945-CHASSIS,router,C3900e-UNIVERSALK9-M15.1(4)M1,ULTA
vg-mwdc-01.ulta.remote.hms.cdw.com,CISCO3945-CHASSIS,router,C3900e-UNIVERSALK9-M15.3(3)M4,ULTA
vg204-mock.ulta.remote.hms.cdw.com,VG204,router,VG20X-IPVOICE-M12.4(22)T5,ULTA
vg224-arbor1.ulta.remote.hms.cdw.com,VG224,router,vg224-I6K9S-M12.4(23),ULTA
vg224-tg-2.ulta.remote.hms.cdw.com,VG224,router,vg224-I6K9S-M12.4(24)T3,ULTA
vg224-nedc.ulta.remote.hms.cdw.com,VG224,router,vg224-I6S-M12.4(24)T5,ULTA
vg224-tg-1.ulta.remote.hms.cdw.com,VG224,router,vg224-I6S-M12.4(7g),ULTA
wdc-vg310-01.ulta.remote.hms.cdw.com,VG310,router,VG3X0-UNIVERSALK9-M15.7(3)M,ULTA
c3650-xfinity-te0406d-svd.umdcp.remote.hms.cdw.com,WS-C3650-24PD,router,CAT3K_CAA-UNIVERSALK9-M16.6.8,UMDCP
r-usabl-nas-2.usabl.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.7(3)M4,USABL
ar01-ccp-ord1.veres.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.5(3)M4a,VERES
s-veres-4500-ord-a.veres.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.04.06.SG,VERES
glw-conveyor-switch.wined.remote.hms.cdw.com,WS-C2950-24,switch,C2950-I6K2L2Q4-M12.1(22)EA13,WINED
sac-dev-uat-switch.wined.remote.hms.cdw.com,WS-C3560G-48TS,switch,C3560-IPSERVICESK9-M12.2(55)SE12,WINED
ibforfl-srst01.yumri.remote.binc.net,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.0(1)M4,YUMRI
ibforfl-sc1.yumri.remote.binc.net,WS-C4506-E,switch,cat4500e-ENTSERVICESK9-M15.2(2)E8,YUMRI
