Device,Model,Type,IOS,BMN
aau01ia-comproom-01.brigg.remote.hms.cdw.com,WS-C2960X-24PS-L,switch,C2960X-UNIVERSALK9-M15.0(2a)EX5,BRIGG
ech01ia-internet-01.brigg.remote.binc.net,WS-C2960X-48FPS-L,switch,C2960X-UNIVERSALK9-M15.2(2)E,BRIGG
aub01ia-comprm-01.brigg.remote.binc.net,WS-C2960X-48FPS-L,switch,C2960X-UNIVERSALK9-M15.2(2)E5,BRIGG
aau01ia-poe3-01.brigg.remote.hms.cdw.com,WS-C2960X-48LPS-L,switch,C2960X-UNIVERSALK9-M15.2(2)E7,BRIGG
aau01ia-comproom-12.brigg.remote.hms.cdw.com,WS-C2960X-48FPS-L,switch,C2960X-UNIVERSALK9-M15.2(4)E6,BRIGG
aub01ia-edcntr-02.brigg.remote.binc.net,WS-C2960X-48FPD-L,switch,C2960X-UNIVERSALK9-M15.2(4)E8,BRIGG
mke01ia-whsev18-01.brigg.remote.binc.net,WS-C2960X-48FPS-L,switch,C2960X-UNIVERSALK9-M15.2(4)E9,BRIGG
afu01ia-01.brigg.remote.binc.net,WS-C2960X-48FPS-L,switch,C2960X-UNIVERSALK9-M15.2(6)E2,BRIGG
enl01ia-01.brigg.remote.binc.net,WS-C2960X-48FPS-L,switch,C2960X-UNIVERSALK9-M15.2(6)E3,BRIGG
mke07ic-01.brigg.remote.binc.net,WS-C3550-48,switch,C3550-IPSERVICESK9-M12.2(52)SE,BRIGG
aub01ia-287zone7-01.brigg.remote.binc.net,WS-C3560-12PC-S,switch,C3560-IPBASE-M12.2(46)SE,BRIGG
stb01ia-20.brigg.remote.binc.net,WS-C3560C-12PC-S,switch,C3560c405-UNIVERSALK9-M12.2(55)EX3,BRIGG
stb01ia-19.brigg.remote.binc.net,WS-C3560C-12PC-S,switch,C3560c405-UNIVERSALK9-M15.0(2)SE8,BRIGG
